seed,best_epoch,best_val_metric,final_val_loss
42,13,0.9788017515923567,0.13398937198739783
123,16,0.9774084394904459,0.14733942146105306
456,8,0.9757165605095541,0.11735442019622716
789,15,0.9776074840764332,0.1735452530071372
1024,16,0.9773089171974523,0.13615601791773707
42,13,0.9788017515923567,0.13398937198739783
123,16,0.9774084394904459,0.14733942146105306
456,8,0.9757165605095541,0.11735442019622716
789,15,0.9776074840764332,0.1735452530071372
1024,16,0.9773089171974523,0.13615601791773707
42,17,0.9813893312101911,0.2128329285142449
123,17,0.9828821656050956,0.1977056668237825
456,18,0.9819864649681529,0.17593440107593133
789,16,0.9814888535031847,0.18655552697404904
1024,20,0.9815883757961783,0.208162486136262
42,17,0.9813893312101911,0.2128329285142449
123,17,0.9828821656050956,0.1977056668237825
456,18,0.9819864649681529,0.17593440107593133
789,16,0.9814888535031847,0.18655552697404904
1024,20,0.9815883757961783,0.208162486136262
42,2,0.9411823248407644,0.21660527871672514
