depth,ion_mean,ion_std,mlp_mean,mlp_std
4,0.9569,0.0000,0.9543,0.0000
8,0.9476,0.0000,0.9412,0.0000
16,0.8741,0.0000,0.8896,0.0000
32,0.1136,0.0000,0.1136,0.0000
