seed,best_epoch,best_val_metric,final_val_loss
42,2,6.502193443477154,6.502193443477154
123,2,6.001482464373112,6.001482464373112
456,2,6.160572752356529,6.160572752356529
789,2,5.955222010612488,5.955222010612488
1024,1,6.068644426763058,6.086676008999348
42,2,6.502193443477154,6.502193443477154
123,2,6.001482464373112,6.001482464373112
456,2,6.160572752356529,6.160572752356529
789,2,5.955222010612488,5.955222010612488
1024,1,6.068644426763058,6.086676008999348
42,2,6.485468775033951,6.485468775033951
123,2,6.001482464373112,6.001482464373112
