seed,best_epoch,best_val_metric,final_val_loss
42,47,0.0038848363346914994,0.0077099514528526925
123,50,0.0036797201216813846,0.0036797201216813846
456,44,0.003822910028247861,0.004111986666430312
789,37,0.0003631459380812885,0.0027704492531483993
1024,46,0.0030890792081663676,0.013086822240438778
42,47,0.0038848363346914994,0.0077099514528526925
123,50,0.0036797201216813846,0.0036797201216813846
456,44,0.003822910028247861,0.004111986666430312
789,37,0.0003631459380812885,0.0027704492531483993
1024,46,0.0030890792081663676,0.013086822240438778
42,1,5.798985756933689,5.861455529928207
