seed,best_epoch,best_val_metric,final_val_loss
42,1,0.49609375,0.6932523120194674
42,47,0.517578125,0.6931840665638447
123,50,0.994140625,0.020066343582584523
456,34,0.5322265625,0.6909117139875889
789,16,0.5224609375,0.6932585723698139
1024,49,0.529296875,0.6920752674341202
42,47,0.517578125,0.6931840665638447
123,50,0.994140625,0.020066343582584523
456,34,0.5322265625,0.6909117139875889
789,16,0.5224609375,0.6932585723698139
1024,49,0.529296875,0.6920752674341202
42,1,0.49609375,0.6932488661259413
