depth,model,mean_accuracy,std_accuracy,n
4,mlp,0.480792,0.000000,1
4,ion,0.482584,0.000000,1
8,mlp,0.450438,0.000000,1
8,ion,0.456509,0.000000,1
16,mlp,0.274682,0.000000,1
16,ion,0.274582,0.000000,1
32,mlp,0.099821,0.000000,1
32,ion,0.099821,0.000000,1
