seed,best_epoch,best_val_metric,final_val_loss
42,19,0.9785031847133758,0.11962490152103447
123,19,0.9808917197452229,0.11192042965166754
456,20,0.9804936305732485,0.12236448791952119
789,20,0.9784036624203821,0.11406407574140526
1024,20,0.9801950636942676,0.12016924359589293
42,2,0.9663614649681529,0.1207481412288205
42,19,0.9785031847133758,0.11962490152103447
123,19,0.9808917197452229,0.11192042965166754
456,20,0.9804936305732485,0.12236448791952119
789,20,0.9784036624203821,0.11406407574140526
1024,20,0.9801950636942676,0.12016924359589293
42,2,0.964968152866242,0.1161567159560598
