seed,best_epoch,best_val_metric,final_val_loss
42,2,0.9638734076433121,0.1234658928410073
42,19,0.9801950636942676,0.11273139791754459
123,18,0.9800955414012739,0.12051161751450001
456,19,0.9791998407643312,0.12873605358336107
789,12,0.9790007961783439,0.1428295481453918
1024,20,0.9795979299363057,0.11295054868549032
42,17,0.9794984076433121,0.15466039204098
123,18,0.9800955414012739,0.12051161751450001
456,19,0.9791998407643312,0.12873605358336107
789,12,0.9790007961783439,0.1428295481453918
1024,20,0.9795979299363057,0.11295054868549032
42,16,0.9820859872611465,0.1474198899019597
123,17,0.9796974522292994,0.1520129744009117
456,20,0.9830812101910829,0.13525980382358035
789,18,0.9830812101910829,0.13472340691588777
1024,17,0.9827826433121019,0.1342696771972133
42,17,0.9810907643312102,0.14162685434957425
123,17,0.9796974522292994,0.1520129744009117
456,20,0.9830812101910829,0.13525980382358035
789,18,0.9830812101910829,0.13472340691588777
1024,17,0.9827826433121019,0.1342696771972133
42,2,0.9491441082802548,0.17096782239616676
