seed,best_epoch,best_val_metric,final_val_loss
42,47,0.0037517502735227026,0.007700713831582107
42,47,0.003369362107150664,0.008055764446908142
1042,49,0.015712518446434842,0.04925794358132407
2042,49,0.008249561786215054,0.00874364427090768
42,39,0.0041329497453261865,0.007563243234471884
123,50,0.003990152257074442,0.003990152257074442
456,44,0.003373516315150482,0.003943421887015575
789,28,0.0004041593720103265,0.002182892527343938
1024,49,0.0031478448008783744,0.008438978053163737
42,47,0.003628663436302304,0.007566575150121935
123,50,0.003990152257074442,0.003990152257074442
456,44,0.003373516315150482,0.003943421887015575
789,28,0.0004041593720103265,0.002182892527343938
1024,49,0.0031478448008783744,0.008438978053163737
42,47,0.002575466036432772,0.023619662504643202
