seed,best_epoch,best_val_metric,final_val_loss
42,1,0.11265923566878981,2.3007924799706525
123,1,0.11265923566878981,2.3007795567725116
456,1,0.11265923566878981,2.3008845535812865
789,1,0.11265923566878981,2.300819814584817
1024,1,0.11265923566878981,2.3007429025735067
42,1,0.11265923566878981,2.3007924799706525
123,1,0.11265923566878981,2.3007795567725116
456,1,0.11265923566878981,2.3008845535812865
789,1,0.11265923566878981,2.300819814584817
1024,1,0.11265923566878981,2.3007429025735067
42,1,0.11265923566878981,2.3009320292503213
123,1,0.11265923566878981,2.3012461510433515
456,1,0.11265923566878981,2.3010420055146428
42,1,0.11265923566878981,2.3007985710338423
123,19,0.9792993630573248,0.2589393937307578
456,17,0.9780055732484076,0.1995650089126574
789,14,0.977109872611465,0.21731243932540537
1024,17,0.9799960191082803,0.20262653414965776
42,1,0.11265923566878981,2.3007985710338423
123,19,0.9792993630573248,0.2589393937307578
456,17,0.9780055732484076,0.1995650089126574
789,14,0.977109872611465,0.21731243932540537
1024,17,0.9799960191082803,0.20262653414965776
42,2,0.8793789808917197,0.388409429864519
