seed,best_epoch,best_val_metric,final_val_loss
42,13,0.9798964968152867,0.13701797779141917
123,20,0.9789012738853503,0.11593553806749836
456,16,0.9804936305732485,0.11574246028409646
789,8,0.9794984076433121,0.18973492018197763
1024,16,0.9803941082802548,0.12726494992791818
42,2,0.9667595541401274,0.1145212737380699
42,11,0.9783041401273885,0.12074675638860713
123,20,0.9789012738853503,0.11593553806749836
456,16,0.9804936305732485,0.11574246028409646
789,8,0.9794984076433121,0.18973492018197763
1024,16,0.9803941082802548,0.12726494992791818
42,2,0.9637738853503185,0.12167453512573129
