seed,best_epoch,best_val_metric,final_val_loss
42,19,0.9791998407643312,0.12853132730893416
1042,10,0.9794984076433121,0.1335335528139903
2042,19,0.9819864649681529,0.1320358796967794
42,19,0.9791998407643312,0.12853132730893416
123,16,0.979796974522293,0.10224967301631521
456,16,0.9786027070063694,0.1334882455025792
789,20,0.9845740445859873,0.09151143349274618
1024,15,0.9799960191082803,0.12300393334262016
42,19,0.9791998407643312,0.12853132730893416
123,16,0.979796974522293,0.10224967301631521
456,16,0.9786027070063694,0.1334882455025792
789,20,0.9845740445859873,0.09151143349274618
1024,15,0.9799960191082803,0.12300393334262016
42,2,0.966859076433121,0.11180406493271232
