model,50,100,200
gru,319.8034 (n=1),1826.6192 (n=1),8509.4778 (n=1)
ion,319.4776 (n=1),1825.8297 (n=1),8507.7667 (n=1)
lstm,319.7331 (n=1),1826.4473 (n=1),8509.1039 (n=1)
