model,50,100,200
gru,0.5498±0.0467,0.5427±0.0356,0.5494±0.0251
ion,0.5863±0.0101,0.5418±0.0151,0.5457±0.0245
lstm,0.5413±0.0562,0.5548±0.0336,0.5471±0.0213
