seed,best_epoch,best_val_metric,final_val_loss
42,2,0.98046875,0.0622265972342575
123,1,0.9892578125,0.040929142996901646
456,2,0.9814453125,0.059093540694448166
789,2,0.9931640625,0.030020564037840813
1024,2,0.9931640625,0.035952906910097227
42,2,0.98046875,0.0622265972342575
123,1,0.9892578125,0.040929142996901646
456,2,0.9814453125,0.059093540694448166
789,2,0.9931640625,0.030020564037840813
1024,2,0.9931640625,0.035952906910097227
42,2,0.986328125,0.05507612026121933
123,1,0.9892578125,0.040929142996901646
