model,50,100,200
gru,0.4559 (n=1),0.5008 (n=1),0.5215 (n=1)
ion,0.4559 (n=1),0.5008 (n=1),0.5195 (n=1)
lstm,0.4578 (n=1),0.5027 (n=1),0.5195 (n=1)
