model,50,100,200
gru,1.0000 (n=1),1.0000 (n=1),1.0000 (n=1)
ion,1.0000 (n=1),1.0000 (n=1),1.0000 (n=1)
lstm,1.0000 (n=1),1.0000 (n=1),1.0000 (n=1)
