model,50,100,200
gru,0.4979±0.0135,0.5178±0.0196,0.5215±0.0569
ion,0.5736±0.0881,0.5830±0.0782,0.5980±0.0514
lstm,0.5127±0.0146,0.5285±0.0099,0.5352±0.0276
