model,50,100,200
gru,0.5140±0.0295,0.5140±0.0166,0.4961±0.0107
ion,0.5194±0.0256,0.5163±0.0110,0.4976±0.0104
lstm,0.5150±0.0284,0.5139±0.0136,0.4869±0.0133
