depth,model,mean_accuracy,std_accuracy,n
4,mlp,0.959435,0.004202,5
4,ion,0.959674,0.002141,5
8,mlp,0.957922,0.003246,5
8,ion,0.951533,0.004518,5
16,mlp,0.878543,0.069810,5
16,ion,0.901354,0.037553,5
32,mlp,0.113555,0.000000,5
32,ion,0.113555,0.000000,5
