model,50,100,200
gru,314.2775±3.7727,1815.5161±23.9119,8616.9045±18.0719
ion,314.3927±3.4793,1815.4463±23.0980,8616.4588±18.2880
lstm,314.5267±3.4551,1816.1335±23.7151,8618.2640±19.1933
