seed,best_epoch,best_val_metric,final_val_loss
42,47,0.0045301577547434135,0.008590416218794417
123,50,0.003449427161285712,0.003449427161285712
456,44,0.004409692590343184,0.00601756788273633
789,37,0.0004505732290454034,0.0008819648355711251
1024,49,0.0032666115607753454,0.011002759776602034
42,47,0.0038331347932398785,0.007774590529152192
123,50,0.003449427161285712,0.003449427161285712
456,44,0.004409692590343184,0.00601756788273633
789,37,0.0004505732290454034,0.0008819648355711251
1024,49,0.0032666115607753454,0.011002759776602034
42,1,5.801141873002052,5.842980116605759
